年月,St.2 表層,St.2 低層,St.4 表層,St.4 低層,オイルフェンス 表層,オイルフェンス 低層
2021/09,1.05,1.05,1.05,3.80,1.10,2.25
2021/10,1.70,3.70,1.70,3.80,1.65,3.90
2021/11,1.50,4.40,1.40,4.50,1.60,4.35
2021/12,1.20,3.90,1.20,4.45,1.85,4.65
2022/01,,,,,,
2022/02,,,,,,
2022/03,1.40,4.30,1.85,4.40,1.85,4.80
2022/04,2.45,3.40,2.20,4.45,,
2022/05,1.55,4.30,2.20,4.10,1.65,4.35
2022/06,1.35,3.55,1.30,4.15,1.60,4.40
2022/07,1.30,3.40,1.35,4.30,1.45,4.00
2022/08,2.15,2.30,2.25,4.25,2.95,4.35
2022/09,1.85,4.10,1.65,4.20,1.75,3.90
2022/10,1.60,3.50,0.90,4.15,0.95,4.05
2022/11,2.05,4.05,1.05,4.60,1.80,4.45
2022/12,,,,,,
2023/01,1.85,4.35,1.80,4.70,1.05,4.55
2023/02,1.05,4.15,1.05,4.65,2.05,4.65
2023/03,1.85,3.90,1.10,4.60,1.40,4.45
2023/04,1.90,3.40,2.00,4.50,1.85,4.30
2023/05,1.40,2.70,1.45,4.25,0.75,4.25
2023/06,1.35,1.50,1.20,3.40,1.15,3.65
2023/07,2.30,4.20,2.15,4.25,2.20,4.20
2023/08,2.30,3.75,2.20,4.60,2.30,4.55
2023/09,1.90,4.10,1.90,4.45,2.15,4.65
2023/10,1.55,1.60,1.20,4.25,1.40,4.15
2023/11,1.95,4.50,2.10,4.60,2.05,4.45
2023/12,1.50,4.25,1.40,4.55,1.70,4.40
2024/01,1.45,4.40,1.10,4.60,1.05,4.70
2024/02,1.40,4.60,1.40,4.75,1.40,4.35
2024/03,1.50,4.35,1.55,4.65,1.70,4.20
2024/04,1.95,4.30,2.00,4.40,1.80,4.40
2024/05,1.85,3.20,2.50,4.30,1.90,3.90
2024/06,1.15,3.10,1.15,4.20,1.30,3.75
2024/07,1.80,3.30,1.85,4.40,2.00,4.10
2024/08,2.30,4.40,2.25,4.55,2.35,4.40
2024/09,2.00,4.20,2.00,4.40,2.15,4.65
2024/10,1.30,1.50,1.55,4.40,1.40,4.10
2024/11,2.00,3.80,2.00,3.85,2.00,4.25
2024/12,2.00,3.40,2.50,4.70,2.15,4.35
2025/01,1.85,4.80,2.10,4.80,2.05,4.90
2025/02,4.40,4.90,2.90,5.00,3.65,4.90
2025/03,1.50,4.80,1.50,4.90,1.50,4.90
